,Year,State Name,Dist Name,Total_Area_ha,Total_Yield_t_per_ha
0,1966,Chhattisgarh,Durg,931590.0000000003,0.27608711987032913
1,1967,Chhattisgarh,Durg,1216430.0,0.4172044425079947
2,1968,Chhattisgarh,Durg,1272720.0,0.45367402099440557
3,1969,Chhattisgarh,Durg,1260820.0,0.4850811376723085
4,1970,Chhattisgarh,Durg,1330260.0,0.5774810939214892
5,1971,Chhattisgarh,Durg,1341809.9999999998,0.5261549697796262
6,1972,Chhattisgarh,Durg,1317839.9999999998,0.4803314514660355
7,1973,Chhattisgarh,Durg,1369480.0,0.5236294067821362
8,1974,Chhattisgarh,Durg,1089230.0,0.39890564894466735
9,1975,Chhattisgarh,Durg,1354589.9999999995,0.5362508212817164
10,1976,Chhattisgarh,Durg,1213110.0,0.3406945783976722
11,1977,Chhattisgarh,Durg,1335259.9999999998,0.5898476701166816
12,1978,Chhattisgarh,Durg,1350440.0,0.39483427623589357
13,1979,Chhattisgarh,Durg,1197679.9999999998,0.3618662747979428
14,1980,Chhattisgarh,Durg,1327320.0000000005,0.5526173040412259
15,1981,Chhattisgarh,Durg,1336549.9999999998,0.5102689760951706
16,1982,Chhattisgarh,Durg,1336370.0000000002,0.5247049843980334
17,1983,Chhattisgarh,Durg,1374490.0,0.6807615915721469
18,1984,Chhattisgarh,Durg,1355030.0,0.562201574872881
19,1985,Chhattisgarh,Durg,1400069.9999999995,0.6581813766454537
20,1986,Chhattisgarh,Durg,1268320.0,0.5821086161221145
21,1987,Chhattisgarh,Durg,1272639.9999999995,0.5780896404324871
22,1988,Chhattisgarh,Durg,1224979.9999999995,0.6023771816682726
23,1989,Chhattisgarh,Durg,1234470.0000000005,0.5311591209182887
24,1990,Chhattisgarh,Durg,1347320.0,0.7830062642876227
25,1991,Chhattisgarh,Durg,1342769.9999999995,0.8106153697208013
26,1992,Chhattisgarh,Durg,1379679.9999999998,0.764336657775716
27,1993,Chhattisgarh,Durg,1469080.0000000005,0.8357611566422519
28,1994,Chhattisgarh,Durg,1501230.0000000005,0.8708059391299133
29,1995,Chhattisgarh,Durg,1512380.0000000005,0.8728626403417125
30,1996,Chhattisgarh,Durg,1473239.9999999998,0.8671363796801607
31,1997,Chhattisgarh,Durg,1529300.0,0.6880272019878376
32,1998,Chhattisgarh,Durg,1622470.0000000002,0.6285046872977618
33,1999,Chhattisgarh,Durg,1381370.0000000002,0.8894068931567937
34,2000,Chhattisgarh,Durg,1105649.9999999998,0.5309998643331976
35,2001,Chhattisgarh,Durg,1151740.0,1.0011374094847794
36,2002,Chhattisgarh,Durg,1143620.0,0.5705916300869169
37,2003,Chhattisgarh,Durg,1182650.0,1.1733141673360672
38,2004,Chhattisgarh,Durg,1231480.0000000002,0.958261603923734
39,2005,Chhattisgarh,Durg,1455650.0,0.8598495517466423
40,2006,Chhattisgarh,Durg,1486779.9999999995,1.0528322952958744
41,2007,Chhattisgarh,Durg,1489050.0,1.2365199288136732
42,2008,Chhattisgarh,Durg,1439200.0000000005,0.8021748193440797
43,2009,Chhattisgarh,Durg,1416710.0,0.7160604499156497
44,2010,Chhattisgarh,Durg,1509030.0,1.2396903971425353
45,2011,Chhattisgarh,Durg,1354499.9999999998,1.3779401993355485
46,2012,Chhattisgarh,Durg,1521930.0,1.38692318306361
47,2013,Chhattisgarh,Durg,1540549.9999999998,1.1567427217552175
48,2014,Chhattisgarh,Durg,1477450.0,1.3170462621408507
49,2015,Chhattisgarh,Durg,1483820.0000000002,0.8556091709236967
50,2016,Chhattisgarh,Durg,1449259.9999999998,1.5955039123414712
51,2017,Chhattisgarh,Durg,1397610.0,1.002482809939826
52,1966,Chhattisgarh,Bastar,574110.0,0.5418822176934732
53,1967,Chhattisgarh,Bastar,595089.9999999999,0.6315011174780287
54,1968,Chhattisgarh,Bastar,612549.9999999999,0.5625663211166435
55,1969,Chhattisgarh,Bastar,621580.0,0.6608964252389073
56,1970,Chhattisgarh,Bastar,631539.9999999998,0.6492067010799001
