,Year,State Name,Dist Name,Crop_Area_ha
0,1966,Chhattisgarh,Durg,993200.0
1,1967,Chhattisgarh,Durg,1014000.0
2,1968,Chhattisgarh,Durg,1031000.0
3,1969,Chhattisgarh,Durg,1035000.0
4,1970,Chhattisgarh,Durg,1035000.0
5,1971,Chhattisgarh,Durg,1041000.0
6,1972,Chhattisgarh,Durg,1042000.0
7,1973,Chhattisgarh,Durg,1046000.0
8,1974,Chhattisgarh,Durg,1039000.0
9,1975,Chhattisgarh,Durg,1063700.0
10,1976,Chhattisgarh,Durg,1022000.0
11,1977,Chhattisgarh,Durg,1045099.9999999999
12,1978,Chhattisgarh,Durg,1051000.0
13,1979,Chhattisgarh,Durg,1043000.0
14,1980,Chhattisgarh,Durg,1041900.0000000001
15,1981,Chhattisgarh,Durg,1049600.0
16,1982,Chhattisgarh,Durg,1055500.0
17,1983,Chhattisgarh,Durg,1059800.0
18,1984,Chhattisgarh,Durg,1058900.0
19,1985,Chhattisgarh,Durg,1063500.0
20,1986,Chhattisgarh,Durg,1051200.0
21,1987,Chhattisgarh,Durg,1052800.0
22,1988,Chhattisgarh,Durg,1038599.9999999999
23,1989,Chhattisgarh,Durg,1040400.0000000001
24,1990,Chhattisgarh,Durg,1035690.0
25,1991,Chhattisgarh,Durg,1036390.0000000001
26,1992,Chhattisgarh,Durg,1037890.0000000001
27,1993,Chhattisgarh,Durg,1044890.0000000001
28,1994,Chhattisgarh,Durg,1046770.0
29,1995,Chhattisgarh,Durg,1048540.0
30,1996,Chhattisgarh,Durg,1050720.0
31,1997,Chhattisgarh,Durg,1052610.0
32,1998,Chhattisgarh,Durg,1042109.9999999999
33,1999,Chhattisgarh,Durg,1045720.0
34,2000,Chhattisgarh,Durg,1023380.0
35,2001,Chhattisgarh,Durg,1035780.0
36,2002,Chhattisgarh,Durg,1032390.0000000001
37,2003,Chhattisgarh,Durg,1038520.0
38,2004,Chhattisgarh,Durg,1039530.0
39,2005,Chhattisgarh,Durg,1041710.0
40,2006,Chhattisgarh,Durg,1039950.0
41,2007,Chhattisgarh,Durg,1038200.0
42,2008,Chhattisgarh,Durg,1031640.0000000001
43,2009,Chhattisgarh,Durg,1026770.0
44,2010,Chhattisgarh,Durg,1026609.9999999999
45,2011,Chhattisgarh,Durg,1030410.0000000001
46,2012,Chhattisgarh,Durg,1029069.9999999999
47,2013,Chhattisgarh,Durg,1030520.0
48,2014,Chhattisgarh,Durg,1026150.0000000001
49,2015,Chhattisgarh,Durg,1030000.0
50,2016,Chhattisgarh,Durg,1038210.0
51,2017,Chhattisgarh,Durg,1048510.0
52,2018,Chhattisgarh,Durg,1061880.0
53,2019,Chhattisgarh,Durg,1053700.0
54,2020,Chhattisgarh,Durg,1053670.0
55,1966,Chhattisgarh,Bastar,644700.0
56,1967,Chhattisgarh,Bastar,669700.0
57,1968,Chhattisgarh,Bastar,690300.0
58,1969,Chhattisgarh,Bastar,697000.0
59,1970,Chhattisgarh,Bastar,704000.0
60,1971,Chhattisgarh,Bastar,704000.0
61,1972,Chhattisgarh,Bastar,703000.0
62,1973,Chhattisgarh,Bastar,739000.0
63,1974,Chhattisgarh,Bastar,743000.0
64,1975,Chhattisgarh,Bastar,765400.0
65,1976,Chhattisgarh,Bastar,747000.0
66,1977,Chhattisgarh,Bastar,761300.0
67,1978,Chhattisgarh,Bastar,773000.0
68,1979,Chhattisgarh,Bastar,777200.0
69,1980,Chhattisgarh,Bastar,802600.0
70,1981,Chhattisgarh,Bastar,806900.0
71,1982,Chhattisgarh,Bastar,821000.0
72,1983,Chhattisgarh,Bastar,836800.0
73,1984,Chhattisgarh,Bastar,833900.0
74,1985,Chhattisgarh,Bastar,841300.0
75,1986,Chhattisgarh,Bastar,841100.0
76,1987,Chhattisgarh,Bastar,842800.0
77,1988,Chhattisgarh,Bastar,850100.0
78,1989,Chhattisgarh,Bastar,854100.0
79,1990,Chhattisgarh,Bastar,859400.0
80,1991,Chhattisgarh,Bastar,858500.0
81,1992,Chhattisgarh,Bastar,850500.0
82,1993,Chhattisgarh,Bastar,872400.0
83,1994,Chhattisgarh,Bastar,868260.0
84,1995,Chhattisgarh,Bastar,870190.0
85,1996,Chhattisgarh,Bastar,867000.0
86,1997,Chhattisgarh,Bastar,862200.0
87,1998,Chhattisgarh,Bastar,865250.0
88,1999,Chhattisgarh,Bastar,861610.0
89,2000,Chhattisgarh,Bastar,856610.0
90,2001,Chhattisgarh,Bastar,857730.0
91,2002,Chhattisgarh,Bastar,836070.0
92,2003,Chhattisgarh,Bastar,844570.0
93,2004,Chhattisgarh,Bastar,843750.0
94,2005,Chhattisgarh,Bastar,842860.0
95,2006,Chhattisgarh,Bastar,867800.0
96,2007,Chhattisgarh,Bastar,816820.0
97,2008,Chhattisgarh,Bastar,817630.0
98,2009,Chhattisgarh,Bastar,815610.0
99,2010,Chhattisgarh,Bastar,834850.0
100,2011,Chhattisgarh,Bastar,813450.0
101,2012,Chhattisgarh,Bastar,818080.0
102,2013,Chhattisgarh,Bastar,820480.0
103,2014,Chhattisgarh,Bastar,822420.0
104,2015,Chhattisgarh,Bastar,811810.0
105,2016,Chhattisgarh,Bastar,817240.0
106,2017,Chhattisgarh,Bastar,815200.0
107,2018,Chhattisgarh,Bastar,813450.0
108,2019,Chhattisgarh,Bastar,790120.0
109,2020,Chhattisgarh,Bastar,773500.0
110,1966,Chhattisgarh,Raipur,856400.0
111,1967,Chhattisgarh,Raipur,878400.0
112,1968,Chhattisgarh,Raipur,889300.0
113,1969,Chhattisgarh,Raipur,888000.0
114,1970,Chhattisgarh,Raipur,896000.0
115,1971,Chhattisgarh,Raipur,902000.0
116,1972,Chhattisgarh,Raipur,906000.0
117,1973,Chhattisgarh,Raipur,915000.0
118,1974,Chhattisgarh,Raipur,907000.0
119,1975,Chhattisgarh,Raipur,922000.0
120,1976,Chhattisgarh,Raipur,910000.0
121,1977,Chhattisgarh,Raipur,921800.0
122,1978,Chhattisgarh,Raipur,929000.0
123,1979,Chhattisgarh,Raipur,915300.0
124,1980,Chhattisgarh,Raipur,916300.0
125,1981,Chhattisgarh,Raipur,925900.0
126,1982,Chhattisgarh,Raipur,930100.0
127,1983,Chhattisgarh,Raipur,936200.0
128,1984,Chhattisgarh,Raipur,934900.0
129,1985,Chhattisgarh,Raipur,939100.0
130,1986,Chhattisgarh,Raipur,934600.0
131,1987,Chhattisgarh,Raipur,934100.0
132,1988,Chhattisgarh,Raipur,925000.0
133,1989,Chhattisgarh,Raipur,933500.0
134,1990,Chhattisgarh,Raipur,932300.0
135,1991,Chhattisgarh,Raipur,934700.0
136,1992,Chhattisgarh,Raipur,936400.0
137,1993,Chhattisgarh,Raipur,942400.0
138,1994,Chhattisgarh,Raipur,945850.0
139,1995,Chhattisgarh,Raipur,948120.0
140,1996,Chhattisgarh,Raipur,945420.0
141,1997,Chhattisgarh,Raipur,949180.0
142,1998,Chhattisgarh,Raipur,949860.0
143,1999,Chhattisgarh,Raipur,952610.0
144,2000,Chhattisgarh,Raipur,936450.0
145,2001,Chhattisgarh,Raipur,949220.0
146,2002,Chhattisgarh,Raipur,946240.0
147,2003,Chhattisgarh,Raipur,947370.0
148,2004,Chhattisgarh,Raipur,948650.0
149,2005,Chhattisgarh,Raipur,945910.0
150,2006,Chhattisgarh,Raipur,945860.0
151,2007,Chhattisgarh,Raipur,946020.0
152,2008,Chhattisgarh,Raipur,940770.0
153,2009,Chhattisgarh,Raipur,936160.0
154,2010,Chhattisgarh,Raipur,938710.0
155,2011,Chhattisgarh,Raipur,939630.0
156,2012,Chhattisgarh,Raipur,936800.0
157,2013,Chhattisgarh,Raipur,946790.0
158,2014,Chhattisgarh,Raipur,953710.0
159,2015,Chhattisgarh,Raipur,947720.0
160,2016,Chhattisgarh,Raipur,940870.0
161,2017,Chhattisgarh,Raipur,939700.0
162,2018,Chhattisgarh,Raipur,947610.0
163,2019,Chhattisgarh,Raipur,934810.0
164,2020,Chhattisgarh,Raipur,932870.0
165,1966,Chhattisgarh,Bilaspur,799800.0
166,1967,Chhattisgarh,Bilaspur,803800.0
167,1968,Chhattisgarh,Bilaspur,809200.0
168,1969,Chhattisgarh,Bilaspur,807000.0
169,1970,Chhattisgarh,Bilaspur,809000.0
170,1971,Chhattisgarh,Bilaspur,812000.0
171,1972,Chhattisgarh,Bilaspur,813000.0
172,1973,Chhattisgarh,Bilaspur,818000.0
173,1974,Chhattisgarh,Bilaspur,813000.0
174,1975,Chhattisgarh,Bilaspur,816200.0
175,1976,Chhattisgarh,Bilaspur,811000.0
176,1977,Chhattisgarh,Bilaspur,819200.0
177,1978,Chhattisgarh,Bilaspur,822000.0
178,1979,Chhattisgarh,Bilaspur,810000.0
179,1980,Chhattisgarh,Bilaspur,814300.0
180,1981,Chhattisgarh,Bilaspur,815400.0
181,1982,Chhattisgarh,Bilaspur,820800.0
182,1983,Chhattisgarh,Bilaspur,818700.0
183,1984,Chhattisgarh,Bilaspur,822800.0
184,1985,Chhattisgarh,Bilaspur,829300.0
185,1986,Chhattisgarh,Bilaspur,827700.0
186,1987,Chhattisgarh,Bilaspur,825700.0
187,1988,Chhattisgarh,Bilaspur,825400.0
188,1989,Chhattisgarh,Bilaspur,824300.0
189,1990,Chhattisgarh,Bilaspur,824910.0
190,1991,Chhattisgarh,Bilaspur,822610.0
191,1992,Chhattisgarh,Bilaspur,822410.0
192,1993,Chhattisgarh,Bilaspur,826910.0
193,1994,Chhattisgarh,Bilaspur,824490.0
194,1995,Chhattisgarh,Bilaspur,826310.0
195,1996,Chhattisgarh,Bilaspur,824550.0
196,1997,Chhattisgarh,Bilaspur,821850.0
197,1998,Chhattisgarh,Bilaspur,820610.0
198,1999,Chhattisgarh,Bilaspur,823000.0
199,2000,Chhattisgarh,Bilaspur,809290.0
200,2001,Chhattisgarh,Bilaspur,818530.0
201,2002,Chhattisgarh,Bilaspur,810220.0
202,2003,Chhattisgarh,Bilaspur,815750.0
203,2004,Chhattisgarh,Bilaspur,814160.0
204,2005,Chhattisgarh,Bilaspur,812020.0
205,2006,Chhattisgarh,Bilaspur,812120.0
206,2007,Chhattisgarh,Bilaspur,811190.0
207,2008,Chhattisgarh,Bilaspur,808020.0
208,2009,Chhattisgarh,Bilaspur,803950.0
209,2010,Chhattisgarh,Bilaspur,805680.0
210,2011,Chhattisgarh,Bilaspur,804530.0
211,2012,Chhattisgarh,Bilaspur,802480.0
212,2013,Chhattisgarh,Bilaspur,803080.0
213,2014,Chhattisgarh,Bilaspur,804110.0
214,2015,Chhattisgarh,Bilaspur,801510.0
215,2016,Chhattisgarh,Bilaspur,791550.0
216,2017,Chhattisgarh,Bilaspur,790440.0
217,2018,Chhattisgarh,Bilaspur,791060.0
218,2019,Chhattisgarh,Bilaspur,733040.0
219,2020,Chhattisgarh,Bilaspur,742050.0
220,1966,Chhattisgarh,Raigarh,495200.0
221,1967,Chhattisgarh,Raigarh,498900.0
222,1968,Chhattisgarh,Raigarh,505500.0
223,1969,Chhattisgarh,Raigarh,505000.0
224,1970,Chhattisgarh,Raigarh,505000.0
225,1971,Chhattisgarh,Raigarh,506000.0
226,1972,Chhattisgarh,Raigarh,507000.0
227,1973,Chhattisgarh,Raigarh,508000.0
228,1974,Chhattisgarh,Raigarh,507000.0
229,1975,Chhattisgarh,Raigarh,510300.0
230,1976,Chhattisgarh,Raigarh,511000.0
231,1977,Chhattisgarh,Raigarh,514500.0
232,1978,Chhattisgarh,Raigarh,517000.0
233,1979,Chhattisgarh,Raigarh,513799.99999999994
234,1980,Chhattisgarh,Raigarh,518299.99999999994
235,1981,Chhattisgarh,Raigarh,523600.0
236,1982,Chhattisgarh,Raigarh,525600.0
237,1983,Chhattisgarh,Raigarh,529500.0
238,1984,Chhattisgarh,Raigarh,531500.0
239,1985,Chhattisgarh,Raigarh,535400.0
240,1986,Chhattisgarh,Raigarh,543900.0
241,1987,Chhattisgarh,Raigarh,543800.0
242,1988,Chhattisgarh,Raigarh,547100.0
243,1989,Chhattisgarh,Raigarh,544900.0
244,1990,Chhattisgarh,Raigarh,544800.0
245,1991,Chhattisgarh,Raigarh,545100.0
246,1992,Chhattisgarh,Raigarh,543100.0
247,1993,Chhattisgarh,Raigarh,544500.0
248,1994,Chhattisgarh,Raigarh,540590.0
249,1995,Chhattisgarh,Raigarh,539260.0
250,1996,Chhattisgarh,Raigarh,538940.0
251,1997,Chhattisgarh,Raigarh,537110.0
252,1998,Chhattisgarh,Raigarh,536700.0
253,1999,Chhattisgarh,Raigarh,534230.0
254,2000,Chhattisgarh,Raigarh,533190.0
255,2001,Chhattisgarh,Raigarh,532220.0
256,2002,Chhattisgarh,Raigarh,532290.0
257,2003,Chhattisgarh,Raigarh,531930.0
258,2004,Chhattisgarh,Raigarh,528880.0
259,2005,Chhattisgarh,Raigarh,526110.0
260,2006,Chhattisgarh,Raigarh,525970.0
261,2007,Chhattisgarh,Raigarh,525060.0
262,2008,Chhattisgarh,Raigarh,523750.0
263,2009,Chhattisgarh,Raigarh,519720.0
264,2010,Chhattisgarh,Raigarh,516260.0
265,2011,Chhattisgarh,Raigarh,514480.0
266,2012,Chhattisgarh,Raigarh,514080.00000000006
267,2013,Chhattisgarh,Raigarh,511270.0
268,2014,Chhattisgarh,Raigarh,497020.0
269,2015,Chhattisgarh,Raigarh,499140.0
270,2016,Chhattisgarh,Raigarh,511850.0
271,2017,Chhattisgarh,Raigarh,498080.0
272,2018,Chhattisgarh,Raigarh,507820.0
273,2019,Chhattisgarh,Raigarh,503670.0
274,2020,Chhattisgarh,Raigarh,497160.0
275,1966,Chhattisgarh,Surguja,507000.0
276,1967,Chhattisgarh,Surguja,508100.0
277,1968,Chhattisgarh,Surguja,521000.0
278,1969,Chhattisgarh,Surguja,525000.0
279,1970,Chhattisgarh,Surguja,534000.0
280,1971,Chhattisgarh,Surguja,538000.0
281,1972,Chhattisgarh,Surguja,541000.0
282,1973,Chhattisgarh,Surguja,548000.0
283,1974,Chhattisgarh,Surguja,547000.0
284,1975,Chhattisgarh,Surguja,546300.0
285,1976,Chhattisgarh,Surguja,545000.0
286,1977,Chhattisgarh,Surguja,560900.0
