,Year,State Name,Dist Name,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
0,1966,Andhra Pradesh,Ananthapur,27000.0,644.445,15.409935,7.483340000000001,13.362314999999999,701275.7700000001,336400.36000000004,618775.71,23.75,68.75,6.25,825.0,2.25,19.0
1,1966,Andhra Pradesh,Chittoor,78050.0,1323.72,34.093,15.88464,26.62184,3213858.0,1542603.84,2827857.04,23.5,75.0,6.25,1000.0,2.25,19.0
2,1966,Andhra Pradesh,East Godavari,108666.66666666667,951.8533333333334,23.763,11.22224,18.874106666666666,4210812.000000001,2021005.76,3703477.226666667,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
3,1966,Andhra Pradesh,Guntur,72500.0,696.0975,17.5006525,8.22817,13.9034325,2493495.135,1196497.6600000001,2192245.7349999994,23.75,68.75,6.25,825.0,2.25,19.0
4,1966,Andhra Pradesh,Kadapa YSR,22525.0,728.95,18.240415000000002,8.5974,14.5910625,746275.9175000001,358050.45,657525.775,23.75,68.75,6.25,825.0,2.25,19.0
5,1966,Andhra Pradesh,Krishna,95000.0,641.7149999999999,16.232875,7.60058,12.76773,3010342.3749999995,1444696.3399999999,2647843.2899999996,23.75,68.75,6.25,825.0,2.25,19.0
6,1966,Andhra Pradesh,Kurnool,61300.0,662.2875,16.50932,7.780785,13.075645,840349.27,401599.70999999996,748349.1200000001,23.75,68.75,6.25,825.0,2.25,19.0
7,1966,Andhra Pradesh,S.P.S. Nellore,64375.0,545.7525,13.340485000000001,6.382365,11.123225000000001,2034395.9955000002,976448.0775,1790396.4755000002,23.75,68.75,6.25,825.0,2.25,19.0
8,1966,Andhra Pradesh,Srikakulam,140000.0,905.02,23.625500000000002,10.860240000000001,17.41044,2838514.5,1362006.96,2494512.76,23.5,75.0,6.25,1000.0,2.25,19.0
9,1966,Andhra Pradesh,Visakhapatnam,51500.0,432.89333333333326,10.689,5.0613866666666665,8.423653333333332,767928.0,368330.7733333334,673595.3066666666,22.333333333333332,70.0,6.333333333333333,866.6666666666666,2.0,18.0
