,Year,State Name,Dist Name,Total_Irrigation(1000 ha)
0,1966,Chhattisgarh,Durg,3.7974999999999994
1,1967,Chhattisgarh,Durg,5.193
2,1968,Chhattisgarh,Durg,6.400499999999999
3,1969,Chhattisgarh,Durg,6.705499999999999
4,1970,Chhattisgarh,Durg,6.7459999999999996
5,1971,Chhattisgarh,Durg,7.275999999999999
6,1972,Chhattisgarh,Durg,6.891
7,1973,Chhattisgarh,Durg,7.617
8,1974,Chhattisgarh,Durg,4.7905
9,1975,Chhattisgarh,Durg,6.946
10,1976,Chhattisgarh,Durg,7.577000000000001
11,1977,Chhattisgarh,Durg,8.723
12,1978,Chhattisgarh,Durg,9.447500000000002
13,1979,Chhattisgarh,Durg,10.235499999999998
14,1980,Chhattisgarh,Durg,9.793499999999998
15,1981,Chhattisgarh,Durg,9.956499999999998
16,1982,Chhattisgarh,Durg,10.187999999999999
17,1983,Chhattisgarh,Durg,10.659499999999998
18,1984,Chhattisgarh,Durg,11.318
19,1985,Chhattisgarh,Durg,11.297499999999998
20,1986,Chhattisgarh,Durg,12.739499999999998
21,1987,Chhattisgarh,Durg,11.011
22,1988,Chhattisgarh,Durg,10.787
23,1989,Chhattisgarh,Durg,11.469999999999997
24,1990,Chhattisgarh,Durg,10.2865
25,1991,Chhattisgarh,Durg,12.548999999999998
26,1992,Chhattisgarh,Durg,13.137500000000003
27,1993,Chhattisgarh,Durg,13.735000000000003
28,1994,Chhattisgarh,Durg,13.9525
29,1995,Chhattisgarh,Durg,14.3055
30,1996,Chhattisgarh,Durg,14.049000000000001
31,1997,Chhattisgarh,Durg,14.3055
32,1998,Chhattisgarh,Durg,12.536600000000002
33,1999,Chhattisgarh,Durg,15.0018
34,2000,Chhattisgarh,Durg,12.0631
35,2001,Chhattisgarh,Durg,15.888049999999998
36,2002,Chhattisgarh,Durg,14.19405
37,2003,Chhattisgarh,Durg,14.91865
38,2004,Chhattisgarh,Durg,18.157
39,2005,Chhattisgarh,Durg,19.2749
40,2006,Chhattisgarh,Durg,20.8735
41,2007,Chhattisgarh,Durg,22.63715
42,2008,Chhattisgarh,Durg,23.231050000000003
43,2009,Chhattisgarh,Durg,22.81095
44,2010,Chhattisgarh,Durg,21.692050000000002
45,2011,Chhattisgarh,Durg,27.907500000000006
46,2012,Chhattisgarh,Durg,29.735999999999997
47,2013,Chhattisgarh,Durg,32.025650000000006
48,2014,Chhattisgarh,Durg,32.466699999999996
49,2015,Chhattisgarh,Durg,32.9296
50,2016,Chhattisgarh,Durg,35.43484999999999
51,2017,Chhattisgarh,Durg,39.482400000000005
52,2018,Chhattisgarh,Durg,43.33489999999999
53,2019,Chhattisgarh,Durg,42.841849999999994
54,2020,Chhattisgarh,Durg,46.195199999999986
55,1966,Chhattisgarh,Bastar,0.5900000000000001
56,1967,Chhattisgarh,Bastar,0.6199999999999999
57,1968,Chhattisgarh,Bastar,0.581
58,1969,Chhattisgarh,Bastar,0.6359999999999999
59,1970,Chhattisgarh,Bastar,0.6255
60,1971,Chhattisgarh,Bastar,0.6305
61,1972,Chhattisgarh,Bastar,0.6209999999999999
62,1973,Chhattisgarh,Bastar,0.631
63,1974,Chhattisgarh,Bastar,0.39299999999999996
64,1975,Chhattisgarh,Bastar,0.40199999999999997
65,1976,Chhattisgarh,Bastar,0.4215
66,1977,Chhattisgarh,Bastar,0.43
67,1978,Chhattisgarh,Bastar,0.43499999999999994
68,1979,Chhattisgarh,Bastar,0.505
69,1980,Chhattisgarh,Bastar,0.505
70,1981,Chhattisgarh,Bastar,0.5700000000000001
71,1982,Chhattisgarh,Bastar,0.635
72,1983,Chhattisgarh,Bastar,0.6399999999999999
73,1984,Chhattisgarh,Bastar,0.775
74,1985,Chhattisgarh,Bastar,0.755
75,1986,Chhattisgarh,Bastar,0.875
76,1987,Chhattisgarh,Bastar,0.96
77,1988,Chhattisgarh,Bastar,0.9250000000000002
78,1989,Chhattisgarh,Bastar,0.99
79,1990,Chhattisgarh,Bastar,-0.347
80,1991,Chhattisgarh,Bastar,-0.23600000000000004
81,1992,Chhattisgarh,Bastar,-0.20750000000000002
82,1993,Chhattisgarh,Bastar,-0.1955
83,1994,Chhattisgarh,Bastar,-0.2205
84,1995,Chhattisgarh,Bastar,-0.259
85,1996,Chhattisgarh,Bastar,-0.2425
86,1997,Chhattisgarh,Bastar,-0.27599999999999997
87,1998,Chhattisgarh,Bastar,0.43949999999999995
88,1999,Chhattisgarh,Bastar,-0.12650000000000006
89,2000,Chhattisgarh,Bastar,-0.13949999999999996
90,2001,Chhattisgarh,Bastar,-0.02300000000000004
91,2002,Chhattisgarh,Bastar,-0.04149999999999991
92,2003,Chhattisgarh,Bastar,-0.14700000000000008
93,2004,Chhattisgarh,Bastar,-0.057499999999999926
94,2005,Chhattisgarh,Bastar,0.014499999999999957
95,2006,Chhattisgarh,Bastar,0.4135
96,2007,Chhattisgarh,Bastar,0.8419999999999999
97,2008,Chhattisgarh,Bastar,0.7825
98,2009,Chhattisgarh,Bastar,0.8554999999999998
99,2010,Chhattisgarh,Bastar,0.743
100,2011,Chhattisgarh,Bastar,1.9970000000000003
101,2012,Chhattisgarh,Bastar,2.0694999999999997
102,2013,Chhattisgarh,Bastar,2.293
103,2014,Chhattisgarh,Bastar,2.3645
104,2015,Chhattisgarh,Bastar,2.4970000000000003
105,2016,Chhattisgarh,Bastar,2.4959999999999996
106,2017,Chhattisgarh,Bastar,2.57315
107,2018,Chhattisgarh,Bastar,3.1003
108,2019,Chhattisgarh,Bastar,3.0905
109,2020,Chhattisgarh,Bastar,3.2636499999999997
110,1966,Chhattisgarh,Raipur,9.285499999999999
111,1967,Chhattisgarh,Raipur,9.245000000000001
112,1968,Chhattisgarh,Raipur,10.375499999999999
113,1969,Chhattisgarh,Raipur,10.635499999999999
114,1970,Chhattisgarh,Raipur,10.261
115,1971,Chhattisgarh,Raipur,10.931499999999998
116,1972,Chhattisgarh,Raipur,10.986999999999998
117,1973,Chhattisgarh,Raipur,10.187000000000001
118,1974,Chhattisgarh,Raipur,8.7715
119,1975,Chhattisgarh,Raipur,10.137
120,1976,Chhattisgarh,Raipur,11.816999999999998
121,1977,Chhattisgarh,Raipur,13.0415
122,1978,Chhattisgarh,Raipur,14.157000000000002
123,1979,Chhattisgarh,Raipur,14.473000000000003
124,1980,Chhattisgarh,Raipur,14.402000000000005
125,1981,Chhattisgarh,Raipur,14.972
126,1982,Chhattisgarh,Raipur,16.622000000000003
127,1983,Chhattisgarh,Raipur,16.097
128,1984,Chhattisgarh,Raipur,17.244
129,1985,Chhattisgarh,Raipur,16.299
130,1986,Chhattisgarh,Raipur,18.878500000000003
131,1987,Chhattisgarh,Raipur,18.979
132,1988,Chhattisgarh,Raipur,17.4005
133,1989,Chhattisgarh,Raipur,18.833000000000002
134,1990,Chhattisgarh,Raipur,17.566499999999998
135,1991,Chhattisgarh,Raipur,18.575
136,1992,Chhattisgarh,Raipur,19.469500000000004
137,1993,Chhattisgarh,Raipur,20.1575
138,1994,Chhattisgarh,Raipur,20.448
139,1995,Chhattisgarh,Raipur,21.291999999999998
140,1996,Chhattisgarh,Raipur,19.677500000000002
141,1997,Chhattisgarh,Raipur,21.183
142,1998,Chhattisgarh,Raipur,20.53
143,1999,Chhattisgarh,Raipur,23.235999999999997
144,2000,Chhattisgarh,Raipur,17.432
145,2001,Chhattisgarh,Raipur,21.279999999999998
146,2002,Chhattisgarh,Raipur,19.297
147,2003,Chhattisgarh,Raipur,20.0475
148,2004,Chhattisgarh,Raipur,21.971999999999998
149,2005,Chhattisgarh,Raipur,23.0675
150,2006,Chhattisgarh,Raipur,24.5635
